agent_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,geometry
3,1871,1828,66139,7136.30,1822:19,167,0,0,"LINESTRING (-112.0379384 33.4499095, -112.0379805 33.4497543, -112.038006 33.4496138, -112.0380478 33.4494084, -112.0380488 33.4493801)"
3,1828,1203,66139,7190.83,1822:19,167,0,0,"LINESTRING (-112.0380488 33.4493801, -112.038067 33.4488899)"
3,1203,904,66139,7249.77,1822:19,167,0,0,"LINESTRING (-112.038067 33.4488899, -112.0380599 33.4484695, -112.0380617 33.4483599)"
3,904,903,66139,7261.10,1822:19,167,0,0,"LINESTRING (-112.0380617 33.4483599, -112.0380634 33.448258)"
3,903,1194,66139,7265.63,1822:19,167,0,0,"LINESTRING (-112.0380634 33.448258, -112.038064 33.4482173)"
3,1194,1820,66139,7309.56,1822:19,167,0,0,"LINESTRING (-112.038064 33.4482173, -112.0380653 33.4481403, -112.0380718 33.4478223)"
3,1820,1173,66139,7360.13,1822:19,167,0,0,"LINESTRING (-112.0380718 33.4478223, -112.0380798 33.4474304, -112.0380845 33.4473677)"
3,1173,1817,66139,7387.70,1822:19,167,0,0,"LINESTRING (-112.0380845 33.4473677, -112.0378569 33.4473673, -112.0377873 33.4473673)"
3,1817,1174,66139,7500.81,1822:19,167,0,0,"LINESTRING (-112.0377873 33.4473673, -112.0368745 33.4473666, -112.0365683 33.4473708)"
3,1174,1819,66118,7537.44,1821:58,166,0,0,"LINESTRING (-112.0365683 33.4473708, -112.0365669 33.4474387, -112.0365615 33.4477002)"
3,1819,1183,66118,7592.87,1821:58,166,0,0,"LINESTRING (-112.0365615 33.4477002, -112.0365523 33.4481399, -112.0365511 33.4481986)"
3,1183,898,66118,7610.09,1821:58,166,0,0,"LINESTRING (-112.0365511 33.4481986, -112.0365501 33.4482471, -112.0365479 33.4483535)"
3,898,1320,66118,7643.15,1821:58,166,0,0,"LINESTRING (-112.0365479 33.4483535, -112.0365456 33.448462, -112.036548 33.4486508)"
