name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,from_biway
,1430,18848361,713,821,1,289.2780456,1,65,,motorway,1,"LINESTRING (-112.0338147 33.462523, -112.0344969 33.4625983, -112.0353343 33.4627214, -112.0358502 33.4627616, -112.0361531 33.4627382, -112.0363991 33.4626921, -112.0366208 33.462633, -112.0368697 33.4625399)",0
,1431,18848413,744,1480,1,24.5257391,1,45,,motorway,1,"LINESTRING (-112.0383632 33.4648061, -112.0384112 33.4645892)",0
,1432,18848439,704,1877,1,38.69976773,2,45,,motorway,1,"LINESTRING (-112.0382178 33.4655387, -112.0383153 33.4652237, -112.0383179 33.4652011)",0
,1433,18848603,1506,1507,1,14.38153669,1,59,,motorway,1,"LINESTRING (-112.0476478 33.4626233, -112.0478028 33.462626)",0
,1434,18848603,1507,2018,1,55.44595631,1,59,,motorway,1,"LINESTRING (-112.0478028 33.462626, -112.047917 33.4626268, -112.0484005 33.4626247)",0
,1435,18849387,734,1529,1,42.84638207,2,59,,motorway,1,"LINESTRING (-112.0656104 33.4618685, -112.0655294 33.4619254, -112.0654559 33.4619848, -112.0653695 33.4620559, -112.0653306 33.4620906, -112.0652807 33.4621377)",0
,1436,18849458,739,889,1,104.736052,2,59,,motorway,1,"LINESTRING (-112.0636789 33.4626872, -112.0638798 33.4626989, -112.0639707 33.462704, -112.0640607 33.4627073, -112.064161 33.4627079, -112.0642485 33.4627021, -112.0643384 33.4626875, -112.0644248 33.462667, -112.0645334 33.4626329, -112.0646203 33.4625944, -112.0646898 33.4625628, -112.0647611 33.4625267)",0
,1437,23690818,750,751,1,91.80583998,1,59,,motorway,1,"LINESTRING (-112.0303393 33.4629383, -112.0303883 33.4627714, -112.0303911 33.4626854, -112.0303989 33.4626492, -112.0304261 33.4626027, -112.0304575 33.462559, -112.0305172 33.4625044, -112.030562 33.4624773, -112.0306288 33.4624532, -112.0306993 33.4624415, -112.0308072 33.4624432, -112.0309224 33.4624597)",0
,1438,23690828,868,752,1,427.5666353,1,59,,motorway,1,"LINESTRING (-112.0364433 33.4616985, -112.0357901 33.4617405, -112.0355199 33.4617624, -112.0352541 33.4617807, -112.0348592 33.4617948, -112.0343099 33.4617948, -112.0340565 33.4617836, -112.0338312 33.4617618, -112.033617 33.4617304, -112.0333714 33.4616762, -112.0329138 33.4615901, -112.0323087 33.4614653, -112.0320854 33.4614378, -112.0318845 33.4614315)",0
,1439,23690832,753,1436,1,107.3169073,2,59,,motorway,1,"LINESTRING (-112.0313342 33.4614973, -112.030912 33.4615561, -112.0308146 33.4615776, -112.0307509 33.461586, -112.030661 33.4615871, -112.0305886 33.4615726, -112.0305048 33.4615368, -112.0304655 33.4615148, -112.0304076 33.4614637, -112.0303719 33.4614183, -112.0303295 33.4613351)",0
,1440,23690853,819,756,1,325.6701535,1,59,,motorway,1,"LINESTRING (-112.0374263 33.4622604, -112.0375315 33.4626784, -112.037583 33.4630365, -112.0375936 33.4633012, -112.0375644 33.4635752, -112.0375301 33.4637945, -112.037503 33.46419, -112.0375161 33.4645396, -112.0376145 33.4651683)",0
,1449,23690942,756,1349,1,73.23596219,2,59,,motorway,1,"LINESTRING (-112.0376145 33.4651683, -112.0377015 33.4653087, -112.0377629 33.4654453, -112.0378312 33.4655466, -112.0378934 33.46564, -112.0380031 33.4657346)",0
,1450,23690959,1366,1369,1,21.70522535,2,59,,motorway,1,"LINESTRING (-112.0383997 33.4657427, -112.0381912 33.4658313)",0
,1451,23691306,762,1355,1,121.5753519,2,45,,motorway,1,"LINESTRING (-112.0386716 33.4668931, -112.0386782 33.4666866, -112.0386111 33.4663946, -112.038587 33.4662732, -112.0385782 33.466177, -112.0385863 33.4661071, -112.0386031 33.4660584, -112.0386252 33.4660276, -112.0386619 33.4659822, -112.0387217 33.4659464, -112.0388263 33.4659041)",0
,1452,23691311,1371,1368,1,17.37479474,2,59,,motorway,1,"LINESTRING (-112.0378218 33.4658951, -112.0379876 33.4658224)",0
,1453,23691312,764,763,1,108.8422063,1,59,,motorway,1,"LINESTRING (-112.0391088 33.465744, -112.038972 33.4657075, -112.0388762 33.4656696, -112.0388048 33.4656264, -112.0387441 33.465579, -112.0386963 33.465522, -112.0386633 33.4654513, -112.0386487 33.4653776, -112.0386372 33.4652928, -112.0386382 33.4651344, -112.0386206 33.4649713)",0
,1454,23691337,661,765,1,395.0558097,1,65,,motorway,1,"LINESTRING (-112.0472522 33.4618543, -112.0467189 33.4619042, -112.0457452 33.46193, -112.0447878 33.4619632, -112.0440289 33.4619767, -112.0433852 33.4619624, -112.0429986 33.4619585)",0
,1496,23699152,705,783,1,1106.534862,1,45,,motorway,1,"LINESTRING (-112.0382399 33.4647462, -112.0381995 33.4642653, -112.0381669 33.4637818, -112.0380595 33.4633483, -112.037905 33.4628757, -112.0372613 33.4616871, -112.0370419 33.4612568, -112.0368922 33.460792, -112.0368303 33.4605624, -112.0367885 33.4603673, -112.0367396 33.459983, -112.0367354 33.4596732, -112.0368407 33.457942, -112.036776 33.4556846, -112.0367648 33.4552944, -112.0367725 33.4550068)",0
,1497,23701463,786,824,1,205.8389831,1,45,,motorway,1,"LINESTRING (-112.0381346 33.4464787, -112.0381658 33.4462991, -112.0381969 33.4459404, -112.0382168 33.4455186, -112.0381998 33.4446308)",0
,1498,23701518,791,846,1,258.6020598,1,65,,motorway,1,"LINESTRING (-112.0371312 33.4447553, -112.0372506 33.445237, -112.0372714 33.44538, -112.0373059 33.4458699, -112.0373322 33.4462058, -112.037338 33.4465216, -112.0373322 33.4470681)",0
,1499,23701540,771,1843,1,705.6981371,1,59,,motorway,1,"LINESTRING (-112.0609673 33.462112, -112.061709 33.4620481, -112.0623387 33.4620641, -112.0632264 33.4621314, -112.0640285 33.4621808, -112.0648566 33.462232, -112.0662438 33.4623226, -112.0669716 33.4623858, -112.067682 33.4624222, -112.0679177 33.4624399, -112.0684267 33.4624587, -112.0685514 33.462457)",0
,1500,23701656,1104,662,1,782.9260811,1,59,,motorway,1,"LINESTRING (-112.0693488 33.4623627, -112.0692494 33.4623642, -112.0690822 33.4623821, -112.0684082 33.4624056, -112.0679238 33.4623921, -112.0676822 33.4623747, -112.0669753 33.4623307, -112.0662453 33.4622653, -112.0648623 33.4621482, -112.0640337 33.4620652, -112.0632392 33.4619956, -112.0623612 33.4619021, -112.0617271 33.4618466, -112.0609567 33.4617401)",0
,1501,23701664,795,796,1,185.7904104,1,59,,motorway,1,"LINESTRING (-112.0779157 33.4616656, -112.0780142 33.4616465, -112.0786264 33.4615881, -112.0791025 33.4615215, -112.0795054 33.4614526, -112.0797627 33.4614084, -112.0798877 33.4613826)",1
,1502,23701664,796,795,1,185.7904104,1,59,,motorway,1,"LINESTRING (-112.0798877 33.4613826, -112.0797627 33.4614084, -112.0795054 33.4614526, -112.0791025 33.4615215, -112.0786264 33.4615881, -112.0780142 33.4616465, -112.0779157 33.4616656)",1
,1503,23701686,1360,798,1,862.7905001,1,59,,motorway,1,"LINESTRING (-112.0908468 33.4614707, -112.0902167 33.4614878, -112.089392 33.4614058, -112.087861 33.4612699, -112.0846767 33.4609978, -112.0836038 33.4609405, -112.0829 33.4609548, -112.0817407 33.4610414, -112.0815964 33.4610912)",0
,1504,23701691,799,800,1,111.6151066,4,59,,motorway,1,"LINESTRING (-112.0769519 33.4619286, -112.0781548 33.4619513)",0
,1505,23701702,802,805,1,57.51452836,2,59,,motorway,1,"LINESTRING (-112.0815892 33.461563, -112.0817408 33.4615205, -112.0818454 33.4614982, -112.0819446 33.4614758, -112.082013 33.4614523, -112.0820855 33.4614198, -112.0821659 33.4613807)",0
,1506,23701706,807,808,1,100.5699653,2,59,,motorway,1,"LINESTRING (-112.0842098 33.4604879, -112.0839923 33.4604743, -112.0838749 33.4604648, -112.0837743 33.4604614, -112.0836919 33.4604637, -112.083608 33.4604709, -112.0835074 33.4604877, -112.0834189 33.460509, -112.0833331 33.4605364, -112.0832466 33.46057, -112.0831614 33.4606114)",0
