name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
East Apache Boulevard,24,5602753,76,380,,152.5115462,2,39,,primary,3,"LINESTRING (-111.9395884 33.4159654, -111.9395362 33.4159003, -111.9394011 33.4157327, -111.9392425 33.41555, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9384473 33.415)",auto,0,0.234633148
West 4th Street,25,5603481,140,41,,10.54156296,1,25,,residential,6,"LINESTRING (-111.9399641 33.4264662, -111.940024 33.4264642, -111.9400776 33.4264624)",auto,1,0.025299751
West 4th Street,26,5603481,41,140,,10.54156296,1,25,,residential,6,"LINESTRING (-111.9400776 33.4264624, -111.940024 33.4264642, -111.9399641 33.4264662)",auto,1,0.025299751
West 4th Street,27,5603481,41,42,,65.00036567,1,25,,residential,6,"LINESTRING (-111.9400776 33.4264624, -111.940778 33.4264585)",auto,1,0.156000878
West 4th Street,28,5603481,42,41,,65.00036567,1,25,,residential,6,"LINESTRING (-111.940778 33.4264585, -111.9400776 33.4264624)",auto,1,0.156000878
South Mill Avenue,29,5607328,50,122,,159.6600172,3,30,,primary,3,"LINESTRING (-111.9400803 33.4219289, -111.9400874 33.4217822, -111.9400779 33.4214219, -111.9400726 33.4212626, -111.9400612 33.4209214, -111.9400495 33.4205725, -111.9400474 33.4204936)",auto,0,0.319320034
West 10th Street,30,5608312,9,381,,69.97886897,1,29,,residential,6,"LINESTRING (-111.944246 33.4194019, -111.945 33.4194026)",auto,1,0.144783867
West 10th Street,31,5608312,381,9,,69.97886897,1,29,,residential,6,"LINESTRING (-111.945 33.4194026, -111.944246 33.4194019)",auto,1,0.144783867
West 10th Street,32,5608313,121,21,,112.2623909,1,29,,residential,6,"LINESTRING (-111.940028 33.4190552, -111.9401135 33.419054, -111.9403101 33.4190557, -111.9404614 33.4190531, -111.940488 33.4190526, -111.9405973 33.4190507, -111.9412375 33.4190521)",auto,1,0.232267016
West 10th Street,33,5608313,21,121,,112.2623909,1,29,,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9405973 33.4190507, -111.940488 33.4190526, -111.9404614 33.4190531, -111.9403101 33.4190557, -111.9401135 33.419054, -111.940028 33.4190552)",auto,1,0.232267016
West 10th Street,34,5608313,21,26,,107.3849767,1,29,,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9417794 33.4190532, -111.9418437 33.4190521, -111.9423945 33.4190482)",auto,1,0.222175814
West 10th Street,35,5608313,26,21,,107.3849767,1,29,,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9418437 33.4190521, -111.9417794 33.4190532, -111.9412375 33.4190521)",auto,1,0.222175814
West 10th Street,36,5608313,26,196,,109.7795496,1,29,,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9432482 33.4190383, -111.9433085 33.4190348, -111.9433719 33.4190264, -111.9434306 33.4190141, -111.9434766 33.4190015, -111.9435652 33.4189718)",auto,1,0.227130103
West 10th Street,37,5608313,196,26,,109.7795496,1,29,,residential,6,"LINESTRING (-111.9435652 33.4189718, -111.9434766 33.4190015, -111.9434306 33.4190141, -111.9433719 33.4190264, -111.9433085 33.4190348, -111.9432482 33.4190383, -111.9423945 33.4190482)",auto,1,0.227130103
West 10th Street,38,5608313,196,10,,63.90501321,1,29,,residential,6,"LINESTRING (-111.9435652 33.4189718, -111.9436258 33.4189528, -111.9436632 33.4189424, -111.9436854 33.4189363, -111.9437511 33.4189279, -111.9438168 33.4189228, -111.943884 33.4189205, -111.9442453 33.4189174)",auto,1,0.132217269
West 10th Street,39,5608313,10,196,,63.90501321,1,29,,residential,6,"LINESTRING (-111.9442453 33.4189174, -111.943884 33.4189205, -111.9438168 33.4189228, -111.9437511 33.4189279, -111.9436854 33.4189363, -111.9436632 33.4189424, -111.9436258 33.4189528, -111.9435652 33.4189718)",auto,1,0.132217269
East University Drive,40,5614812,124,53,,137.7016816,2,35,,secondary,4,"LINESTRING (-111.9381462 33.4218977, -111.9380605 33.4218977, -111.9367573 33.4219048, -111.9366625 33.4219038)",auto,0,0.236060026
East University Drive,41,5614812,53,377,,159.0804654,2,35,,secondary,4,"LINESTRING (-111.9366625 33.4219038, -111.9365628 33.4219033, -111.9358468 33.4219032, -111.9356516 33.4219032, -111.9352555 33.4219032, -111.9350608 33.4218992, -111.9349485 33.421897)",auto,0,0.272709369
East 3rd Street,42,5615753,141,142,,42.82012463,1,29,,unclassified,11,"LINESTRING (-111.9395019 33.4273825, -111.939719 33.4273828, -111.9398405 33.427384, -111.9398764 33.4273843, -111.9399633 33.4273851)",auto,1,0.088593361
East 3rd Street,43,5615753,142,141,,42.82012463,1,29,,unclassified,11,"LINESTRING (-111.9399633 33.4273851, -111.9398764 33.4273843, -111.9398405 33.427384, -111.939719 33.4273828, -111.9395019 33.4273825)",auto,1,0.088593361
West 7th Street,44,5617602,5,382,,65.02922426,1,25,,residential,6,"LINESTRING (-111.9442993 33.4231771, -111.9448229 33.4231773, -111.945 33.4231773)",auto,1,0.156070138
West 7th Street,45,5617602,382,5,,65.02922426,1,25,,residential,6,"LINESTRING (-111.945 33.4231773, -111.9448229 33.4231773, -111.9442993 33.4231771)",auto,1,0.156070138
East 5th Street,46,5619424,97,194,,116.4781031,1,30,,tertiary,5,"LINESTRING (-111.9394161 33.4254973, -111.9392877 33.4254971, -111.9390426 33.4254967, -111.9388368 33.4254969, -111.9382883 33.4254956, -111.9382749 33.4254956, -111.938161 33.4254954)",auto,1,0.232956206
