cell_id,zone_id
-22389993317,381
-22389993316,382
-22389993315,411
-22388993317,379
-22388993314,378
-22387993317,380
-22387993314,390
-22386993317,422
-22386993314,439
-22385993315,315
-22385993314,392
-22384993317,396
-22384993314,403
-22383993317,123
-22383993316,413
-22383993315,416
-22383993314,405
