from_node_id,to_node_id,cell_id,FFTT_in_sec,distance,o_distance,d_distance,accessbility_time,hit_count,use_count,benefit,geometry
314,134,-22387993317,71,0.000353,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366549 33.4176535, -111.9367551 33.4176523, -111.9381395 33.4176358, -111.938222 33.4176349, -111.9397914 33.4176178, -111.9398468 33.4176189)"
163,359,-22388993315,6,0.005000,999999.000000,999999.000000,60,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9425485 33.4291402, -111.9425454 33.4291882, -111.942523 33.429252)"
401,251,-22388993314,6,0.005000,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9433042 33.4302, -111.9433033 33.4301913, -111.9432646 33.4300587, -111.9431999 33.4298849, -111.9431442 33.4297815)"
313,290,-22387993317,37,0.000494,999999.000000,999999.000000,33,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366276 33.4162059, -111.9365009 33.416198, -111.9363553 33.4161918, -111.9362773 33.4161848, -111.936235 33.4161823, -111.9359174 33.4160964, -111.9352405 33.4160982, -111.9350452 33.4160987, -111.9349531 33.4160981)"
290,313,-22386993317,37,0.000327,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9349531 33.4160981, -111.9350452 33.4160987, -111.9352405 33.4160982, -111.9359174 33.4160964, -111.936235 33.4161823, -111.9362773 33.4161848, -111.9363553 33.4161918, -111.9365009 33.416198, -111.9366276 33.4162059)"
59,19,-22387993315,18,0.005000,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366724 33.4254992, -111.9366718 33.4253943, -111.9366717 33.4253795, -111.9366697 33.4248479, -111.9366683 33.4244745, -111.936666 33.4243591)"
19,59,-22387993316,18,0.005000,999999.000000,999999.000000,44,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.936666 33.4243591, -111.9366683 33.4244745, -111.9366697 33.4248479, -111.9366717 33.4253795, -111.9366718 33.4253943, -111.9366724 33.4254992)"
19,62,-22387993316,18,0.005000,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.936666 33.4243591, -111.9366669 33.4242409, -111.9366703 33.423784, -111.9366737 33.4233232, -111.9366746 33.4232058)"
62,19,-22387993316,18,0.005000,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366746 33.4232058, -111.9366737 33.4233232, -111.9366703 33.423784, -111.9366669 33.4242409, -111.936666 33.4243591)"
62,181,-22387993316,19,0.005000,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366746 33.4232058, -111.9366734 33.4230882, -111.9366683 33.4225993, -111.9366668 33.4224568, -111.9366665 33.4224305, -111.9366626 33.4220574, -111.9366619 33.4219911)"
181,62,-22387993316,19,0.005000,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366619 33.4219911, -111.9366626 33.4220574, -111.9366665 33.4224305, -111.9366668 33.4224568, -111.9366683 33.4225993, -111.9366734 33.4230882, -111.9366746 33.4232058)"
181,53,-22387993316,6,0.005000,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366619 33.4219911, -111.9366625 33.4219038)"
53,181,-22387993316,6,0.005000,999999.000000,999999.000000,86,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366625 33.4219038, -111.9366619 33.4219911)"
53,129,-22387993316,9,0.005000,999999.000000,999999.000000,96,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366625 33.4219038, -111.9366612 33.4218453, -111.9366602 33.4218359, -111.9366407 33.4212929)"
129,53,-22387993316,9,0.005000,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366407 33.4212929, -111.9366602 33.4218359, -111.9366612 33.4218453, -111.9366625 33.4219038)"
130,129,-22387993316,6,0.000658,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.936667 33.4212884, -111.936692 33.421276, -111.9367094 33.4212576, -111.9367179 33.4212346, -111.9367173 33.4212163, -111.9367079 33.4211944, -111.9366988 33.4211839, -111.9366766 33.4211693, -111.9366438 33.4211619, -111.9366099 33.421167, -111.9365885 33.4211782, -111.9365779 33.4211878, -111.936566 33.4212066, -111.9365625 33.4212303, -111.9365654 33.421246, -111.936581 33.4212697, -111.9366004 33.4212832, -111.9366407 33.4212929)"
129,130,-22387993316,6,0.005000,999999.000000,999999.000000,86,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366407 33.4212929, -111.936667 33.4212884)"
84,346,-22388993317,6,0.005000,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.940029 33.4174558, -111.9399592 33.4174561)"
346,343,-22387993317,6,0.000172,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399592 33.4174561, -111.9399462 33.4174558, -111.9398726 33.4174547)"
343,133,-22387993317,6,0.005000,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9398726 33.4174547, -111.9398439 33.4174549)"
133,312,-22387993317,36,0.000230,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9398439 33.4174549, -111.9397819 33.4174542, -111.9396173 33.4174516, -111.9394931 33.4174529, -111.938321 33.4174654, -111.9382156 33.4174665, -111.9381365 33.4174674, -111.9380448 33.4174661, -111.9367627 33.4174821, -111.936655 33.4174833)"
402,131,-22387993317,16,0.000029,999999.000000,999999.000000,82,8,1,-100.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9381583 33.415, -111.9385524 33.4151879, -111.9388391 33.4153857, -111.9391546 33.4156339, -111.9393959 33.4159185, -111.939442 33.4159929, -111.9394923 33.4160741)"
94,47,-22388993315,6,0.000188,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9400695 33.4274911, -111.9400679 33.4273849)"
47,41,-22388993315,12,0.000253,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9400679 33.4273849, -111.9400679 33.427282, -111.9400776 33.4264624)"
41,216,-22388993315,6,0.000313,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9400776 33.4264624, -111.9400785 33.4260353)"
184,217,-22387993316,13,0.000018,999999.000000,999999.000000,109,5,1,-100.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9398966 33.4219821, -111.9399104 33.422072, -111.9399143 33.422407, -111.9399634 33.422988)"
145,176,-22387993315,6,0.000106,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399635 33.4295773, -111.9399677 33.4296814)"
116,171,-22388993315,11,0.000267,999999.000000,999999.000000,80,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9424679 33.4293072, -111.9424408 33.4293282, -111.9424117 33.4293459, -111.9423742 33.4293605, -111.9423052 33.4293832, -111.942233 33.4294013, -111.9421561 33.4294096, -111.9417009 33.4294155, -111.9414991 33.4294319, -111.941344 33.4294485)"
171,248,-22388993315,6,0.000160,999999.000000,999999.000000,58,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.941344 33.4294485, -111.9412177 33.4294583, -111.9406832 33.4295107)"
249,169,-22388993315,6,0.000220,999999.000000,999999.000000,60,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9420775 33.4295382, -111.9421438 33.4295286, -111.9422238 33.4295199, -111.9423924 33.4294854, -111.9424627 33.4294689, -111.9425335 33.4294621, -111.9426236 33.4294744)"
173,171,-22388993315,6,0.000233,999999.000000,999999.000000,57,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9409154 33.429599, -111.9410033 33.4295322, -111.9412737 33.429505, -111.9413273 33.4294836, -111.941344 33.4294485)"
54,181,-22386993316,16,0.000386,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9349431 33.4220042, -111.9350594 33.4220019, -111.9352505 33.421997, -111.9362677 33.4219925, -111.9365669 33.4219912, -111.9366619 33.4219911)"
181,182,-22387993316,14,0.000221,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366619 33.4219911, -111.9367549 33.421991, -111.9371263 33.4219926, -111.9377106 33.421986, -111.9380612 33.4219867, -111.9381452 33.4219872)"
117,360,-22388993315,6,0.005000,999999.000000,999999.000000,63,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9428468 33.4292652, -111.9428211 33.4292268, -111.9427932 33.4292071, -111.9427707 33.4291942)"
17,138,-22388993316,6,0.000026,999999.000000,999999.000000,97,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9400786 33.4243437, -111.9399523 33.4243448)"
138,17,-22387993316,6,0.000026,999999.000000,999999.000000,97,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399523 33.4243448, -111.9400786 33.4243437)"
138,18,-22387993316,10,0.000026,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399523 33.4243448, -111.939833 33.4243454, -111.9391418 33.4243489)"
18,138,-22387993316,10,0.000026,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9391418 33.4243489, -111.939833 33.4243454, -111.9399523 33.4243448)"
72,372,-22388993315,6,0.005000,999999.000000,999999.000000,63,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9430761 33.429697, -111.9430096 33.4296326)"
372,168,-22388993315,6,0.005000,999999.000000,999999.000000,82,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9430096 33.4296326, -111.9429722 33.4295963, -111.9429203 33.4295496, -111.9428945 33.4295157, -111.9428737 33.429453, -111.9428674 33.4293722)"
